Readable Timestamp,Beach Name,Measurement Timestamp,Water Temperature,Turbidity,Wave Height,Wave Period,Measurement ID,Water Temperature_groundtruth,Turbidity_groundtruth,Wave Height_groundtruth,Wave Period_groundtruth
2015-05-21 03:00:00,Montrose Beach,1432177200,11.0,1.57,0.18,4.0,MontroseBeach201505210300,11.0,1.57,0.18,4.0
2015-05-21 04:00:00,Montrose Beach,1432180800,10.8,1.16,0.168,4.0,MontroseBeach201505210400,10.8,1.16,0.168,4.0
2015-05-21 04:00:00,63rd Street Beach,1432180800,10.7,1.77,0.172,4.0,63rdStreetBeach201505210400,10.7,1.77,0.172,4.0
2015-05-21 04:00:00,Calumet Beach,1432180800,11.5,2.39,0.135,4.0,CalumetBeach201505210400,11.5,2.39,0.135,4.0
2015-05-21 05:00:00,Calumet Beach,1432184400,11.5,2.24,0.121,4.0,CalumetBeach201505210500,11.5,2.24,0.121,4.0
2015-05-21 05:00:00,63rd Street Beach,1432184400,10.7,1.82,0.168,4.0,63rdStreetBeach201505210500,10.7,1.82,0.168,4.0
2015-05-21 05:00:00,Montrose Beach,1432184400,10.8,1.23,0.173,3.0,MontroseBeach201505210500,10.8,1.23,0.173,3.0
2015-05-21 06:00:00,Calumet Beach,1432188000,11.5,1.89,0.11,4.0,CalumetBeach201505210600,11.5,1.89,0.11,4.0
2015-05-21 06:00:00,Montrose Beach,1432188000,10.8,1.13,0.173,3.0,MontroseBeach201505210600,10.8,1.13,0.173,3.0
2015-05-21 06:00:00,63rd Street Beach,1432188000,10.6,1.94,0.156,4.0,63rdStreetBeach201505210600,10.6,1.94,0.156,4.0
2015-05-21 07:00:00,Calumet Beach,1432191600,11.4,2.11,0.111,4.0,CalumetBeach201505210700,11.4,2.11,0.111,4.0
2015-05-21 07:00:00,Montrose Beach,1432191600,10.8,0.9,0.173,4.0,MontroseBeach201505210700,10.8,0.9,0.173,4.0
2015-05-21 07:00:00,63rd Street Beach,1432191600,10.4,2.27,0.153,3.0,63rdStreetBeach201505210700,10.4,2.27,0.153,3.0
2015-05-21 08:00:00,Montrose Beach,1432195200,10.8,0.72,0.153,3.0,MontroseBeach201505210800,10.8,0.72,0.153,3.0
2015-05-21 08:00:00,Calumet Beach,1432195200,11.4,2.25,0.116,3.0,CalumetBeach201505210800,11.4,2.25,0.116,3.0
2015-05-21 08:00:00,63rd Street Beach,1432195200,10.5,1.98,0.153,3.0,63rdStreetBeach201505210800,10.5,1.98,0.153,3.0
2015-05-21 09:00:00,63rd Street Beach,1432198800,10.6,1.55,0.153,3.0,63rdStreetBeach201505210900,10.6,1.55,0.153,3.0
2015-05-21 09:00:00,Montrose Beach,1432198800,10.8,0.67,0.161,3.0,MontroseBeach201505210900,10.8,0.67,0.161,3.0
2015-05-21 09:00:00,Calumet Beach,1432198800,11.4,2.17,0.116,3.0,CalumetBeach201505210900,11.4,2.17,0.116,3.0
2015-05-21 10:00:00,Montrose Beach,1432202400,10.8,0.9,0.144,3.0,MontroseBeach201505211000,10.8,0.9,0.144,3.0
2015-05-21 10:00:00,Calumet Beach,1432202400,11.5,2.0,0.127,3.0,CalumetBeach201505211000,11.5,2.0,0.127,3.0
2015-05-21 10:00:00,63rd Street Beach,1432202400,10.8,1.39,0.142,2.0,63rdStreetBeach201505211000,10.8,1.39,0.142,2.0
2015-05-21 11:00:00,63rd Street Beach,1432206000,11.0,1.46,0.122,3.0,63rdStreetBeach201505211100,11.0,1.46,0.122,3.0
2015-05-21 11:00:00,Calumet Beach,1432206000,11.8,1.94,0.126,3.0,CalumetBeach201505211100,11.8,1.94,0.126,3.0
2015-05-21 11:00:00,Montrose Beach,1432206000,11.1,0.96,0.126,3.0,MontroseBeach201505211100,11.1,0.96,0.126,3.0
2015-05-21 12:00:00,Calumet Beach,1432209600,12.3,1.8,0.139,3.0,CalumetBeach201505211200,12.3,1.8,0.139,3.0
2015-05-21 12:00:00,Montrose Beach,1432209600,11.4,1.15,0.138,3.0,MontroseBeach201505211200,11.4,1.15,0.138,3.0
2015-05-21 12:00:00,63rd Street Beach,1432209600,11.4,1.31,0.141,3.0,63rdStreetBeach201505211200,11.4,1.31,0.141,3.0
2015-05-21 13:00:00,63rd Street Beach,1432213200,11.633333333333333,1.3133333333333335,0.13066666666666665,3.0,63rdStreetBeach201505211300,11.633333333333333,1.3133333333333335,0.13066666666666665,3.0
2015-05-21 13:00:00,Montrose Beach,1432213200,11.6,1.16,0.113,3.0,MontroseBeach201505211300,11.6,1.16,0.113,3.0
2015-05-21 13:00:00,Calumet Beach,1432213200,12.3,1.67,0.121,3.0,CalumetBeach201505211300,12.3,1.67,0.121,3.0
2015-05-21 14:00:00,Calumet Beach,1432216800,12.9,1.89,0.132,3.0,CalumetBeach201505211400,12.9,1.89,0.132,3.0
2015-05-21 14:00:00,Montrose Beach,1432216800,11.8,1.22,0.118,8.0,MontroseBeach201505211400,11.8,1.22,0.118,8.0
2015-05-21 14:00:00,63rd Street Beach,1432216800,11.866666666666667,1.3166666666666667,0.12033333333333333,3.0,63rdStreetBeach201505211400,11.866666666666667,1.3166666666666667,0.12033333333333333,3.0
2015-05-21 15:00:00,Montrose Beach,1432220400,12.0,1.11,0.129,3.0,MontroseBeach201505211500,12.0,1.11,0.129,3.0
2015-05-21 15:00:00,63rd Street Beach,1432220400,12.1,1.32,0.11,3.0,63rdStreetBeach201505211500,12.1,1.32,0.11,3.0
2015-05-21 15:00:00,Calumet Beach,1432220400,12.9,1.86,0.11,3.0,CalumetBeach201505211500,12.9,1.86,0.11,3.0
2015-05-21 16:00:00,Calumet Beach,1432224000,12.9,2.72,0.121,3.0,CalumetBeach201505211600,12.9,2.72,0.121,3.0
2015-05-21 16:00:00,Montrose Beach,1432224000,12.1,1.02,0.152,3.0,MontroseBeach201505211600,12.1,1.02,0.152,3.0
2015-05-21 16:00:00,63rd Street Beach,1432224000,12.25,1.4100000000000001,0.1065,3.0,63rdStreetBeach201505211600,12.25,1.4100000000000001,0.1065,3.0
2015-05-21 17:00:00,Montrose Beach,1432227600,12.2,1.0,0.141,3.0,MontroseBeach201505211700,12.2,1.0,0.141,3.0
2015-05-21 17:00:00,Calumet Beach,1432227600,12.9,1.71,0.1,3.0,CalumetBeach201505211700,12.9,1.71,0.1,3.0
2015-05-21 17:00:00,63rd Street Beach,1432227600,12.4,1.5,0.103,3.0,63rdStreetBeach201505211700,12.4,1.5,0.103,3.0
2015-05-21 18:00:00,Calumet Beach,1432231200,12.7,1.52,0.093,4.0,CalumetBeach201505211800,12.7,1.52,0.093,4.0
