pattern_name,TP,FP,FN,precision,recall,F1,tolerance_s,confidence_thr,dataset,level,MAE,RMSE,avg_confidence
Calumet_HighTurbidity_95,30,32,51,0.4838709677419355,0.37037037037037035,0.4195804195804196,0.5,0.85,hybrid_30,atomic,0.12791911173179923,0.43372095352857226,0.9072264983584525
Calumet_LocalAlert_65,30,32,51,0.4838709677419355,0.37037037037037035,0.4195804195804196,0.5,0.85,hybrid_30,local_complex,0.12791911173179923,0.43372095352857226,0.9072264983584525
Calumet_LocalAlert_75,30,32,51,0.4838709677419355,0.37037037037037035,0.4195804195804196,0.5,0.85,hybrid_30,local_complex,0.12791911173179923,0.43372095352857226,0.9072264983584525
Calumet_LocalAlert_85,30,25,51,0.5454545454545454,0.37037037037037035,0.4411764705882353,0.5,0.85,hybrid_30,local_complex,0.12791911173179923,0.43372095352857226,0.9072264983584525
Calumet_LocalAlert_95,28,23,53,0.5490196078431373,0.345679012345679,0.42424242424242425,0.5,0.85,hybrid_30,local_complex,0.12791911173179923,0.43372095352857226,0.9072264983584525
Calumet_LowWaterTemp_65,2111,148,378,0.9344842850818946,0.8481317798312575,0.8892165122156697,0.5,0.85,hybrid_30,atomic,0.12791911173179923,0.43372095352857226,0.9072264983584525
Calumet_LowWaterTemp_75,2111,148,378,0.9344842850818946,0.8481317798312575,0.8892165122156697,0.5,0.85,hybrid_30,atomic,0.12791911173179923,0.43372095352857226,0.9072264983584525
Calumet_LowWaterTemp_85,2111,148,378,0.9344842850818946,0.8481317798312575,0.8892165122156697,0.5,0.85,hybrid_30,atomic,0.12791911173179923,0.43372095352857226,0.9072264983584525
Calumet_LowWaterTemp_95,1867,128,622,0.9358395989974937,0.750100441944556,0.8327386262265833,0.5,0.85,hybrid_30,atomic,0.12791911173179923,0.43372095352857226,0.9072264983584525
MontroseToCalumet_AlertSpread_65,18,1,11,0.9473684210526315,0.6206896551724138,0.75,0.5,0.85,hybrid_30,distributed_complex,0.12791911173179923,0.43372095352857226,0.9072264983584525
MontroseToCalumet_AlertSpread_75,19,1,10,0.95,0.6551724137931034,0.7755102040816326,0.5,0.85,hybrid_30,distributed_complex,0.12791911173179923,0.43372095352857226,0.9072264983584525
MontroseToCalumet_AlertSpread_85,18,1,11,0.9473684210526315,0.6206896551724138,0.75,0.5,0.85,hybrid_30,distributed_complex,0.12791911173179923,0.43372095352857226,0.9072264983584525
MontroseToCalumet_AlertSpread_95,16,1,13,0.9411764705882353,0.5517241379310345,0.6956521739130435,0.5,0.85,hybrid_30,distributed_complex,0.12791911173179923,0.43372095352857226,0.9072264983584525
Montrose_HighTurbidity_65,128,40,102,0.7619047619047619,0.5565217391304348,0.6432160804020102,0.5,0.85,hybrid_30,atomic,0.12791911173179923,0.43372095352857226,0.9072264983584525
Montrose_HighTurbidity_75,128,40,102,0.7619047619047619,0.5565217391304348,0.6432160804020102,0.5,0.85,hybrid_30,atomic,0.12791911173179923,0.43372095352857226,0.9072264983584525
Montrose_HighTurbidity_85,128,40,102,0.7619047619047619,0.5565217391304348,0.6432160804020102,0.5,0.85,hybrid_30,atomic,0.12791911173179923,0.43372095352857226,0.9072264983584525
Montrose_HighTurbidity_95,128,40,102,0.7619047619047619,0.5565217391304348,0.6432160804020102,0.5,0.85,hybrid_30,atomic,0.12791911173179923,0.43372095352857226,0.9072264983584525
Montrose_HighWave_65,163,105,128,0.6082089552238806,0.5601374570446735,0.5831842576028624,0.5,0.85,hybrid_30,atomic,0.12791911173179923,0.43372095352857226,0.9072264983584525
Montrose_HighWave_75,163,105,128,0.6082089552238806,0.5601374570446735,0.5831842576028624,0.5,0.85,hybrid_30,atomic,0.12791911173179923,0.43372095352857226,0.9072264983584525
Montrose_HighWave_85,163,105,128,0.6082089552238806,0.5601374570446735,0.5831842576028624,0.5,0.85,hybrid_30,atomic,0.12791911173179923,0.43372095352857226,0.9072264983584525
Montrose_HighWave_95,145,90,146,0.6170212765957447,0.49828178694158076,0.5513307984790874,0.5,0.85,hybrid_30,atomic,0.12791911173179923,0.43372095352857226,0.9072264983584525
Montrose_LocalAlert_65,56,29,69,0.6588235294117647,0.448,0.5333333333333333,0.5,0.85,hybrid_30,local_complex,0.12791911173179923,0.43372095352857226,0.9072264983584525
Montrose_LocalAlert_75,56,28,69,0.6666666666666666,0.448,0.5358851674641147,0.5,0.85,hybrid_30,local_complex,0.12791911173179923,0.43372095352857226,0.9072264983584525
Montrose_LocalAlert_85,54,23,71,0.7012987012987013,0.432,0.5346534653465347,0.5,0.85,hybrid_30,local_complex,0.12791911173179923,0.43372095352857226,0.9072264983584525
Montrose_LocalAlert_95,49,22,76,0.6901408450704225,0.392,0.5000000000000001,0.5,0.85,hybrid_30,local_complex,0.12791911173179923,0.43372095352857226,0.9072264983584525
Regional_TripleAlert_65,14,1,27,0.9333333333333333,0.34146341463414637,0.5,0.5,0.85,hybrid_30,distributed_complex,0.12791911173179923,0.43372095352857226,0.9072264983584525
Regional_TripleAlert_75,14,1,27,0.9333333333333333,0.34146341463414637,0.5,0.5,0.85,hybrid_30,distributed_complex,0.12791911173179923,0.43372095352857226,0.9072264983584525
Regional_TripleAlert_85,10,1,31,0.9090909090909091,0.24390243902439024,0.38461538461538464,0.5,0.85,hybrid_30,distributed_complex,0.12791911173179923,0.43372095352857226,0.9072264983584525
Regional_TripleAlert_95,10,1,31,0.9090909090909091,0.24390243902439024,0.38461538461538464,0.5,0.85,hybrid_30,distributed_complex,0.12791911173179923,0.43372095352857226,0.9072264983584525
63rd_HighTurbidity_65,133,28,38,0.8260869565217391,0.7777777777777778,0.8012048192771084,0.5,0.85,drop_10,atomic,1.5102081250048101e-18,4.610512088916784e-17,1.0
63rd_HighTurbidity_75,133,28,38,0.8260869565217391,0.7777777777777778,0.8012048192771084,0.5,0.85,drop_10,atomic,1.5102081250048101e-18,4.610512088916784e-17,1.0
63rd_HighTurbidity_85,133,28,38,0.8260869565217391,0.7777777777777778,0.8012048192771084,0.5,0.85,drop_10,atomic,1.5102081250048101e-18,4.610512088916784e-17,1.0
63rd_HighTurbidity_95,133,28,38,0.8260869565217391,0.7777777777777778,0.8012048192771084,0.5,0.85,drop_10,atomic,1.5102081250048101e-18,4.610512088916784e-17,1.0
63rd_HighWavePeriod_65,686,202,279,0.7725225225225225,0.7108808290155441,0.7404209390178089,0.5,0.85,drop_10,atomic,1.5102081250048101e-18,4.610512088916784e-17,1.0
63rd_HighWavePeriod_75,686,202,279,0.7725225225225225,0.7108808290155441,0.7404209390178089,0.5,0.85,drop_10,atomic,1.5102081250048101e-18,4.610512088916784e-17,1.0
63rd_HighWavePeriod_85,686,202,279,0.7725225225225225,0.7108808290155441,0.7404209390178089,0.5,0.85,drop_10,atomic,1.5102081250048101e-18,4.610512088916784e-17,1.0
63rd_HighWavePeriod_95,686,202,279,0.7725225225225225,0.7108808290155441,0.7404209390178089,0.5,0.85,drop_10,atomic,1.5102081250048101e-18,4.610512088916784e-17,1.0
63rd_LocalAlert_65,80,33,39,0.7079646017699115,0.6722689075630253,0.6896551724137931,0.5,0.85,drop_10,local_complex,1.5102081250048101e-18,4.610512088916784e-17,1.0
63rd_LocalAlert_75,80,33,39,0.7079646017699115,0.6722689075630253,0.6896551724137931,0.5,0.85,drop_10,local_complex,1.5102081250048101e-18,4.610512088916784e-17,1.0
63rd_LocalAlert_85,80,33,39,0.7079646017699115,0.6722689075630253,0.6896551724137931,0.5,0.85,drop_10,local_complex,1.5102081250048101e-18,4.610512088916784e-17,1.0
63rd_LocalAlert_95,80,33,39,0.7079646017699115,0.6722689075630253,0.6896551724137931,0.5,0.85,drop_10,local_complex,1.5102081250048101e-18,4.610512088916784e-17,1.0
CalumetTo63rd_AlertSpread_65,16,8,13,0.6666666666666666,0.5517241379310345,0.6037735849056604,0.5,0.85,drop_10,distributed_complex,1.5102081250048101e-18,4.610512088916784e-17,1.0
CalumetTo63rd_AlertSpread_75,16,8,13,0.6666666666666666,0.5517241379310345,0.6037735849056604,0.5,0.85,drop_10,distributed_complex,1.5102081250048101e-18,4.610512088916784e-17,1.0
CalumetTo63rd_AlertSpread_85,16,8,13,0.6666666666666666,0.5517241379310345,0.6037735849056604,0.5,0.85,drop_10,distributed_complex,1.5102081250048101e-18,4.610512088916784e-17,1.0
CalumetTo63rd_AlertSpread_95,16,8,13,0.6666666666666666,0.5517241379310345,0.6037735849056604,0.5,0.85,drop_10,distributed_complex,1.5102081250048101e-18,4.610512088916784e-17,1.0
Calumet_HighTurbidity_65,51,16,30,0.7611940298507462,0.6296296296296297,0.6891891891891893,0.5,0.85,drop_10,atomic,1.5102081250048101e-18,4.610512088916784e-17,1.0
Calumet_HighTurbidity_75,51,16,30,0.7611940298507462,0.6296296296296297,0.6891891891891893,0.5,0.85,drop_10,atomic,1.5102081250048101e-18,4.610512088916784e-17,1.0
Calumet_HighTurbidity_85,51,16,30,0.7611940298507462,0.6296296296296297,0.6891891891891893,0.5,0.85,drop_10,atomic,1.5102081250048101e-18,4.610512088916784e-17,1.0
Calumet_HighTurbidity_95,51,16,30,0.7611940298507462,0.6296296296296297,0.6891891891891893,0.5,0.85,drop_10,atomic,1.5102081250048101e-18,4.610512088916784e-17,1.0
Calumet_LocalAlert_65,51,16,30,0.7611940298507462,0.6296296296296297,0.6891891891891893,0.5,0.85,drop_10,local_complex,1.5102081250048101e-18,4.610512088916784e-17,1.0
Calumet_LocalAlert_75,51,16,30,0.7611940298507462,0.6296296296296297,0.6891891891891893,0.5,0.85,drop_10,local_complex,1.5102081250048101e-18,4.610512088916784e-17,1.0
Calumet_LocalAlert_85,51,16,30,0.7611940298507462,0.6296296296296297,0.6891891891891893,0.5,0.85,drop_10,local_complex,1.5102081250048101e-18,4.610512088916784e-17,1.0
Calumet_LocalAlert_95,51,16,30,0.7611940298507462,0.6296296296296297,0.6891891891891893,0.5,0.85,drop_10,local_complex,1.5102081250048101e-18,4.610512088916784e-17,1.0
Calumet_LowWaterTemp_65,2196,45,293,0.9799196787148594,0.8822820409803134,0.9285412262156448,0.5,0.85,drop_10,atomic,1.5102081250048101e-18,4.610512088916784e-17,1.0
Calumet_LowWaterTemp_75,2196,45,293,0.9799196787148594,0.8822820409803134,0.9285412262156448,0.5,0.85,drop_10,atomic,1.5102081250048101e-18,4.610512088916784e-17,1.0
Calumet_LowWaterTemp_85,2196,45,293,0.9799196787148594,0.8822820409803134,0.9285412262156448,0.5,0.85,drop_10,atomic,1.5102081250048101e-18,4.610512088916784e-17,1.0
Calumet_LowWaterTemp_95,2196,45,293,0.9799196787148594,0.8822820409803134,0.9285412262156448,0.5,0.85,drop_10,atomic,1.5102081250048101e-18,4.610512088916784e-17,1.0
MontroseToCalumet_AlertSpread_65,14,7,15,0.6666666666666666,0.4827586206896552,0.56,0.5,0.85,drop_10,distributed_complex,1.5102081250048101e-18,4.610512088916784e-17,1.0
MontroseToCalumet_AlertSpread_75,14,7,15,0.6666666666666666,0.4827586206896552,0.56,0.5,0.85,drop_10,distributed_complex,1.5102081250048101e-18,4.610512088916784e-17,1.0
