# Started Tue Oct 21 19:54:08 2025
stream_id,event_id,sampled_ts,arrival_ts,event_ts,datatype,unit,value,origin,reconstructed_value,reconstructed_confidence,reconstruction_method,confidence,reconstruction_flag,status,source,extras,reconstruction_time
Montrose_Beach_Wave_Period,MontroseBeach201506150700_Wave_Period,None,1761090889.1832917,1434351600,float,None,5.0,source,4.768836424916134,0.7736386640525246,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 5.0},1761090889.196822
Calumet_Beach_Water_Temperature,CalumetBeach201506150700_Water_Temperature,None,1761090889.1832917,1434351600,float,None,16.1,source,16.1000000000003,1.0,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 16.1},1761090889.196822
Calumet_Beach_Turbidity,CalumetBeach201506150700_Turbidity,None,1761090889.1832917,1434351600,float,None,1.03,source,1.0301514643348553,1.0,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 1.03},1761090889.196822
Calumet_Beach_Wave_Height,CalumetBeach201506150700_Wave_Height,None,1761090889.1832917,1434351600,float,None,0.077,source,0.07694059357291246,1.0,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 0.077},1761090889.196822
Calumet_Beach_Wave_Period,CalumetBeach201506150700_Wave_Period,None,1761090889.1832917,1434351600,float,None,2.0,source,2.4934375396307584,0.0524638322663049,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 2.0},1761090889.196822
63rd_Street_Beach_Water_Temperature,63rdStreetBeach201506150700_Water_Temperature,None,1761090889.1832917,1434351600,float,None,16.0,source,16.000495073831555,1.0,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 16.0},1761090889.196822
63rd_Street_Beach_Turbidity,63rdStreetBeach201506150700_Turbidity,None,1761090889.1832917,1434351600,float,None,1.26,source,1.2602989723348663,1.0,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 1.26},1761090889.196822
63rd_Street_Beach_Wave_Height,63rdStreetBeach201506150700_Wave_Height,None,1761090889.1832917,1434351600,float,None,0.059,source,0.05902465626619543,1.0,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 0.059},1761090889.196822
63rd_Street_Beach_Wave_Period,63rdStreetBeach201506150700_Wave_Period,None,1761090889.1832917,1434351600,float,None,4.0,source,4.0116651568299035,1.0,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 4.0},1761090889.196822
Calumet_Beach_Water_Temperature,CalumetBeach201506150800_Water_Temperature,None,1761090889.2446907,1434355200,float,None,16.3,source,16.29900987672416,1.0,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 16.3},1761090889.2446907
