attribute,mode,Q,R,rmse,norm_rmse
Turbidity,velocity,0.5,0.2,0.9836187966665457,0.4923705105157227
Turbidity,velocity,1.0,0.01,0.9838432085417076,0.49248284447061835
Turbidity,velocity,1.0,0.02,0.9838191296071318,0.4924707912673348
Turbidity,velocity,1.0,0.05,0.9837543803889807,0.49243837972161747
Turbidity,velocity,1.0,0.1,0.9836694578051371,0.4923958699850172
Turbidity,velocity,1.0,0.2,0.98357412431186,0.4923481488547245
Turbidity,velocity,2.0,0.01,0.9838557369788269,0.4924891158361121
Turbidity,velocity,2.0,0.02,0.9838432085417076,0.49248284447061835
Turbidity,velocity,2.0,0.05,0.9838075694378273,0.4924650045881036
Turbidity,velocity,2.0,0.1,0.9837543803889807,0.49243837972161747
Turbidity,velocity,2.0,0.2,0.9836694578051371,0.4923958699850172
Turbidity,acceleration,0.01,0.01,1.3944921488454352,0.6980415721660503
Turbidity,acceleration,0.01,0.02,1.3629478191850202,0.682251412653635
Turbidity,acceleration,0.01,0.05,1.3007999537320336,0.65114202724513
Turbidity,acceleration,0.01,0.1,1.252616558799511,0.6270228432261716
Turbidity,acceleration,0.01,0.2,1.2310189601009351,0.6162117233765206
Turbidity,acceleration,0.05,0.01,1.426398859152966,0.7140131287245836
Turbidity,acceleration,0.05,0.02,1.4176606351958534,0.7096390319654071
Turbidity,acceleration,0.05,0.05,1.3944921488454338,0.6980415721660497
Turbidity,acceleration,0.05,0.1,1.36294781918502,0.6822514126536349
Turbidity,acceleration,0.05,0.2,1.3174316129542762,0.6594673445019079
Turbidity,acceleration,0.1,0.01,1.4310405704081828,0.7163366322486551
Turbidity,acceleration,0.1,0.02,1.4263988591529655,0.7140131287245833
Turbidity,acceleration,0.1,0.05,1.4135124666652064,0.7075625813484997
Turbidity,acceleration,0.1,0.1,1.394492148845434,0.6980415721660498
Turbidity,acceleration,0.1,0.2,1.36294781918502,0.6822514126536349
Turbidity,acceleration,0.2,0.01,1.4334489890642998,0.7175422154758837
Turbidity,acceleration,0.2,0.02,1.4310405704081828,0.7163366322486551
Turbidity,acceleration,0.2,0.05,1.424152406893169,0.7128886210903721
Turbidity,acceleration,0.2,0.1,1.4135124666652064,0.7075625813484997
Turbidity,acceleration,0.2,0.2,1.394492148845434,0.6980415721660498
Turbidity,acceleration,0.5,0.01,1.4349274441158002,0.7182822863965989
Turbidity,acceleration,0.5,0.02,1.4339388311979204,0.7177874159765454
Turbidity,acceleration,0.5,0.05,1.4310405704081828,0.7163366322486551
Turbidity,acceleration,0.5,0.1,1.4263988591529655,0.7140131287245833
Turbidity,acceleration,0.5,0.2,1.4176606351958538,0.7096390319654073
Turbidity,acceleration,1.0,0.01,1.435426440843728,0.7185320694167162
Turbidity,acceleration,1.0,0.02,1.4349274441158002,0.7182822863965989
Turbidity,acceleration,1.0,0.05,1.4334489890642992,0.7175422154758834
Turbidity,acceleration,1.0,0.1,1.4310405704081828,0.7163366322486551
Turbidity,acceleration,1.0,0.2,1.4263988591529655,0.7140131287245833
Turbidity,acceleration,2.0,0.01,1.4356771655492673,0.7186575747971375
Turbidity,acceleration,2.0,0.02,1.435426440843728,0.7185320694167162
Turbidity,acceleration,2.0,0.05,1.4346791404968007,0.718157992940573
Turbidity,acceleration,2.0,0.1,1.4334489890642992,0.7175422154758834
Turbidity,acceleration,2.0,0.2,1.4310405704081828,0.7163366322486551
Wave Height,position,0.01,0.01,0.05423658439008295,0.5089815524032187
Wave Height,position,0.01,0.02,0.05569250189122925,0.5226445652613801
Wave Height,position,0.01,0.05,0.05922131973780787,0.5557606474390806
Wave Height,position,0.01,0.1,0.0632548192718099,0.5936128993373286
Wave Height,position,0.01,0.2,0.06827958684476129,0.6407676755553863
Wave Height,position,0.05,0.01,0.05311823915016237,0.4984864760126486
Wave Height,position,0.05,0.02,0.053360918956459995,0.5007638971654611
