attribute,mode,Q,R,rmse,norm_rmse
Wave Period,acceleration,0.01,0.1,2.710824341989904,1.542408083473195
Wave Period,acceleration,0.01,0.2,2.5754881893866233,1.465404357142395
Wave Period,acceleration,0.05,0.01,3.2465912235398595,1.8472493659420075
Wave Period,acceleration,0.05,0.02,3.200879960675529,1.8212405168050116
Wave Period,acceleration,0.05,0.05,3.105167063316277,1.766781677737932
Wave Period,acceleration,0.05,0.1,3.0073688138230295,1.7111363125140149
Wave Period,acceleration,0.05,0.2,2.8922003456396217,1.6456076194387128
Wave Period,acceleration,0.1,0.01,3.2697912496421058,1.8604497446027017
Wave Period,acceleration,0.1,0.02,3.2426421479075507,1.8450024161551213
Wave Period,acceleration,0.1,0.05,3.177935966893577,1.8081858157208153
Wave Period,acceleration,0.1,0.1,3.1026222354613795,1.7653337185346587
Wave Period,acceleration,0.1,0.2,3.0067231445874483,1.7107689388584133
Wave Period,acceleration,0.2,0.01,3.27765573508363,1.8649244889560965
Wave Period,acceleration,0.2,0.02,3.262753271215326,1.8564452672012608
Wave Period,acceleration,0.2,0.05,3.2236690230366754,1.8342070648236874
Wave Period,acceleration,0.2,0.1,3.1720069262815116,1.8048123030864343
Wave Period,acceleration,0.2,0.2,3.0981821910539864,1.7628074167456185
Wave Period,acceleration,0.5,0.01,3.2720639991615537,1.8617428963485405
Wave Period,acceleration,0.5,0.02,3.265789465499583,1.8581728046644943
Wave Period,acceleration,0.5,0.05,3.2480726090440353,1.8480922464418572
Wave Period,acceleration,0.5,0.1,3.221705296585425,1.8330897413936067
Wave Period,acceleration,0.5,0.2,3.177955962176473,1.808197192660845
Wave Period,acceleration,1.0,0.01,3.2616919053961118,1.855841370005223
Wave Period,acceleration,1.0,0.02,3.258514166776169,1.8540332964762067
Wave Period,acceleration,1.0,0.05,3.2492803127684673,1.8487794071546155
Wave Period,acceleration,1.0,0.1,3.2348092187448603,1.840545626731083
Wave Period,acceleration,1.0,0.2,3.2088163936062153,1.8257561979270307
Wave Period,acceleration,2.0,0.01,3.251789244560627,1.850206942173085
Wave Period,acceleration,2.0,0.02,3.2501872693588165,1.8492954484025288
Wave Period,acceleration,2.0,0.05,3.245459908938309,1.8466056692039512
Wave Period,acceleration,2.0,0.1,3.2378315883267708,1.8422652981986043
Wave Period,acceleration,2.0,0.2,3.223438292083386,1.834075783249316
