# Logger: PatternLogger | Started: Tue Dec 30 12:10:48 EST 2025
fired_at,fired_offset_sec,pattern_name,pattern_type,subpatterns,subpattern_confidences,num_subpatterns,num_events,confidence,contributing_streams,nested_event_ids
2025-12-30 12:11:28.016,39.614,EngineOverheat,atomic,[EngineOverheat],[1.0000],1,1,1.0000,[engine-temp-1],[[94a7e6c1-13e7-4f69-8b01-bab4b66c8008]]
2025-12-30 12:11:28.913,40.511,EngineOverheat,atomic,[EngineOverheat],[1.0000],1,1,1.0000,[engine-temp-1],[[49815842-06ea-4fd4-9f84-5e481effa89a]]
2025-12-30 12:11:29.794,41.392,EngineOverheat,atomic,[EngineOverheat],[1.0000],1,1,1.0000,[engine-temp-1],[[7ff6c23f-5576-4280-9079-a0492c3f6772]]
2025-12-30 12:11:30.681,42.279,EngineOverheat,atomic,[EngineOverheat],[1.0000],1,1,1.0000,[engine-temp-1],[[900f85fe-f692-4a99-b95f-8822c673b8da]]
2025-12-30 12:11:31.579,43.177,EngineOverheat,atomic,[EngineOverheat],[1.0000],1,1,1.0000,[engine-temp-1],[[7cd9a8e3-ce77-4347-b524-d2de7cadccdc]]
2025-12-30 12:11:32.463,44.061,EngineOverheat,atomic,[EngineOverheat],[1.0000],1,1,1.0000,[engine-temp-1],[[707ff2ad-c7c2-4ef3-9bb0-d4c38f5083eb]]
2025-12-30 12:11:33.346,44.944,EngineOverheat,atomic,[EngineOverheat],[1.0000],1,1,1.0000,[engine-temp-1],[[a363149d-06fe-4e7a-88cf-5e7da328587e]]
2025-12-30 12:11:34.249,45.847,EngineOverheat,atomic,[EngineOverheat],[1.0000],1,1,1.0000,[engine-temp-1],[[6c128fba-cb8d-421b-89a1-e9f0e6a27a24]]
2025-12-30 12:11:35.124,46.722,EngineOverheat,atomic,[EngineOverheat],[1.0000],1,1,1.0000,[engine-temp-1],[[df47bbaa-3038-40a0-9c60-d8ec91a10e42]]
2025-12-30 12:11:36.118,47.716,EngineOverheat,atomic,[EngineOverheat],[0.9931],1,1,0.9931,[engine-temp-1],[[1e37ba27-3aa6-4b59-a90b-2601f5e3ed64]]
2025-12-30 12:11:36.911,48.509,EngineOverheat,atomic,[EngineOverheat],[1.0000],1,1,1.0000,[engine-temp-1],[[fb7df188-f4de-48da-b5ff-4ada5ad935a1]]
2025-12-30 12:11:37.813,49.411,EngineOverheat,atomic,[EngineOverheat],[1.0000],1,1,1.0000,[engine-temp-1],[[e015db1a-4355-4ca1-addc-b73003f610a5]]
2025-12-30 12:11:38.687,50.285,EngineOverheat,atomic,[EngineOverheat],[1.0000],1,1,1.0000,[engine-temp-1],[[8412c1a2-3859-46ad-951c-d010fa5383c8]]
2025-12-30 12:11:39.586,51.184,EngineOverheat,atomic,[EngineOverheat],[1.0000],1,1,1.0000,[engine-temp-1],[[d7d18b94-a3f1-4afc-b25d-002a2beb30c3]]
2025-12-30 12:11:40.566,52.164,EngineOverheat,atomic,[EngineOverheat],[0.9893],1,1,0.9893,[engine-temp-1],[[597df2f5-6444-4a99-84ed-68f9759176e8]]
2025-12-30 12:11:41.362,52.960,EngineOverheat,atomic,[EngineOverheat],[1.0000],1,1,1.0000,[engine-temp-1],[[e3dd78da-8ef0-4308-986c-f0b3abbd482b]]
2025-12-30 12:11:42.249,53.847,EngineOverheat,atomic,[EngineOverheat],[1.0000],1,1,1.0000,[engine-temp-1],[[8f5c4975-40b6-4b0d-9078-0cd291bc0c2f]]
2025-12-30 12:11:43.148,54.746,EngineOverheat,atomic,[EngineOverheat],[1.0000],1,1,1.0000,[engine-temp-1],[[d06fd3fd-d884-4793-ada1-997771f4e90a]]
2025-12-30 12:11:44.034,55.632,EngineOverheat,atomic,[EngineOverheat],[1.0000],1,1,1.0000,[engine-temp-1],[[9bdabfd3-fb91-498f-8f7d-0d74b1662bbd]]
2025-12-30 12:11:44.922,56.520,EngineOverheat,atomic,[EngineOverheat],[1.0000],1,1,1.0000,[engine-temp-1],[[20c574bb-4d30-4956-8f41-ea2b44069043]]
2025-12-30 12:11:45.818,57.416,EngineOverheat,atomic,[EngineOverheat],[1.0000],1,1,1.0000,[engine-temp-1],[[bb2dd5a9-398b-4c35-8b0f-dd51903b4f8b]]
2025-12-30 12:11:46.710,58.308,EngineOverheat,atomic,[EngineOverheat],[1.0000],1,1,1.0000,[engine-temp-1],[[4bcf9a00-e06b-46fe-b0ea-b6ca7c03c946]]
2025-12-30 12:11:47.595,59.193,EngineOverheat,atomic,[EngineOverheat],[1.0000],1,1,1.0000,[engine-temp-1],[[9e0538dc-1d7a-450e-95f5-981687cb1dba]]
2025-12-30 12:11:48.485,60.083,EngineOverheat,atomic,[EngineOverheat],[1.0000],1,1,1.0000,[engine-temp-1],[[761d829b-70fd-4c44-adac-d721efd40a2d]]
