# Started Tue Oct 21 20:05:55 2025
stream_id,event_id,sampled_ts,arrival_ts,event_ts,datatype,unit,value,origin,reconstructed_value,reconstructed_confidence,reconstruction_method,confidence,reconstruction_flag,status,source,extras,reconstruction_time
Calumet_Beach_Turbidity,CalumetBeach201507050200_Turbidity,,,1436061600,,,2.539414548421464,missing,2.539414548421464,0.6065306627302732,KalmanFilter,0.6065306597126334,True,reconstructed,,{'ground_truth': 1.9833333333333327},1761091626.8614838
63rd_Street_Beach_Water_Temperature,63rdStreetBeach201507050200_Water_Temperature,,,1436061600,,,20.900995061397346,missing,20.900995061397346,0.9048374187117866,KalmanFilter,0.9048374184861385,True,reconstructed,,{'ground_truth': 20.566666666666663},1761091626.8624825
Calumet_Beach_Water_Temperature,CalumetBeach201507050200_Water_Temperature,None,1761091626.8614838,1436061600,float,None,20.9,source,20.901492549748376,1.0,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 20.9},1761091626.863483
63rd_Street_Beach_Wave_Height,63rdStreetBeach201507050200_Wave_Height,,,1436061600,,,0.10170455975005871,missing,0.10170455975005871,0.9512294249739741,KalmanFilter,0.951229424500714,True,reconstructed,,{'ground_truth': 0.0943333333333333},1761091626.863483
Calumet_Beach_Wave_Height,CalumetBeach201507050200_Wave_Height,None,1761091626.8614838,1436061600,float,None,0.1016666666666666,source,0.10171975394877153,1.0,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 0.1016666666666666},1761091626.8644826
Calumet_Beach_Wave_Period,CalumetBeach201507050200_Wave_Period,None,1761091626.8614838,1436061600,float,None,3.0,source,2.9876576507061157,1.0,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 3.0},1761091626.8644826
Montrose_Beach_Water_Temperature,MontroseBeach201507050200_Water_Temperature,,,1436061600,,,18.801490135387162,missing,18.801490135387162,0.8608147743719501,KalmanFilter,0.8608147742287185,True,reconstructed,,{'ground_truth': 18.366666666666667},1761091626.86549
Montrose_Beach_Wave_Height,MontroseBeach201507050200_Wave_Height,,,1436061600,,,0.13602423936961194,missing,0.13602423936961194,0.9048374187117866,KalmanFilter,0.9048374184861385,True,reconstructed,,{'ground_truth': 0.1126666666666666},1761091626.86549
Montrose_Beach_Wave_Period,MontroseBeach201507050200_Wave_Period,,,1436061600,,,6.961769218195323,missing,6.961769218195323,0.9048374457444097,KalmanFilter,0.9048374180359595,True,reconstructed,,{'ground_truth': 6.0},1761091626.8664887
63rd_Street_Beach_Turbidity,63rdStreetBeach201507050200_Turbidity,None,1761091626.863483,1436061600,float,None,1.3766666666666667,source,1.376849092775282,1.0,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 1.3766666666666667},1761091626.8664887
63rd_Street_Beach_Wave_Period,63rdStreetBeach201507050200_Wave_Period,None,1761091626.8644826,1436061600,float,None,5.333333333333333,source,5.132447789293368,0.9310769990670499,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 5.333333333333333},1761091626.867489
